Premise,Entailment,Neutral (non-sequitor),Contradiction,Creative contradiction
"We've been dealing with it for months, and months and months.",We've been dealing with it for months.,We haven't talked for months.,We've been dealing with it for mere moments,
"I would buy it, if it did not cost an arm and a leg!","I would buy it, if it did not cost that much!","With only an arm and a leg, she crawled across the deck.","I would buy it, if it did not cost so little. ",
Even a baby could pass that test!,It is very easy to pass that test!,Even a baby could understand what is going on here.,It's very difficult to pass that test!,
And soon I'll be famous beyond belief.,And soon I'll be very famous.,What Jesus did is beyond belief: he transformed water into wine.,And soon I'll be forgotten,
Old Mr. Smith has been teaching here since the Stone Age.,Old Mr. Smith has been teaching here for a very long time.,This site has been a settlement since the Stone Age.,Old Mr. Smith has been teaching here a very short time,
"Set a beggar on horseback, and he'll ride to the devil.","Set a beggar on horseback, and he will ride far.",The exorcist claimed he was able to talk to the Devil.,"Set a beggar on horseback, and he will stand still.",
Nothing's impossible!,Most things are possible!,Nothing is impossible in a child's imagination.,Few things are impossible.,
A day was twenty-four hours long but seemed longer.,A day was really exhausting.,"The movie lasted one hour, but seemed longer.",A day was really energizing,
She'll erupt when she finds out that her brother left.,She'll get furious when she finds out that her brother left.,Volcanoes erupt underwater.,She'll be ecstatic when she finds out that her brother left.,
Nobody can beat level six.,It would be difficult to beat level six.,Nobody seems to have explained this to her.,It is easy to beat level six.,
Supernatural courage is needed when bringing a message to a hostile audience.,A great courage is needed when bringing a message to a hostile audience.,Evolutionists gave a natural origin to human institutions instead of a supernatural origin.,Little courage is needed when bringing a message to a hostile audience.,
Living with apprehensive parents is being trapped in a tower.,Living with apprehensive parents is very limiting.,"Trapped in a tower, the princess spent her days drawing.",Living with apprehensive parents is very expanding.,
A man can have a belly you could house a commercial aircraft in.,A man can have a very large belly.,Our warehouse could house a commercial aircraft.,A man can have a very small belly.,
We are traversing the vast desert of everyday life.,We live by ourselves in everyday life.,We were traversing the vast desert of Isran.,We are stationary in the tiny rainforest of everyday life.,
Jason would rather lose an arm than lose face by pulling out.,Jason would rather keep going than lose face by pulling out.,He may still lose an arm from that attack.,Jason would rather win than lose face by pulling out.,
It was said that he had read so many books that his brain dried up.,It was said that he had read so many books that his brain stopped working properly.,Make sure all excess liquid dried up.,It was said that he had read so few books that his brain functioned better.,
All these parties will break my bank.,All these parties are expensive.,Party hosts can incur costs.,All these parties are cheap.,
Dust-like snowflakes began to fall.,Tiny snowflakes began to fall.,Fungi are filled with dust-like spores.,Brobdingnagian snowflakes began to fall.,
"See, my dear, a pair of high heels is indispensable these days.","See, my dear, a pair of high heels is important these days.",Iron is indispensable for photosynthesis.,"See, my dear, a pair of high heels is superfluous these days.",
The joke was just epic!,The joke was very good.,Epic poems have been created throughout history.,The joke was very bad.,
"I'm sure the spider was about to leap off the wall, latch itself onto my leg and start gnawing me.","I am sure the spider was about to leap off the wall, latch onto my leg and bite me.",Terry saw some apes biting themselves and gnawing at the bars.,I'm sure the spider was about to leap off the wall and run away from me.,
Not too far away is an empire of chicken farms.,Not too far away is a large chicken farm business.,The foundations of the empire were beginning to weaken.,Not too far away is a defunct chicken coop.,
The girl is no one.,The girl is not relevant.,There was no one there but the family.,The girl is a celebrity.,
You could see she was scared to death.,You could see she was very scared.,The judge was shot to death in the front seat.,You could see she was unafraid.,
I'll see him wriggle like a worm on a hook!,I'll see him become very nervous!,A moth looks like a worm.,I'll see him be made comfortable.,
The style is the man.,The style is important to how we see a man.,The price is the same for all cards.,The style is inconsequential to how we see a man.,
One could swear that the contortionist had no bones.,The contortionist was flexible.,I had no bones in the jaw.,The contortionist was stiff.,
Being in debt makes my muscles itch.,Being in debt makes me uncomfortable.,I want to scratch my skin off whenever my muscles itch.,Being in debt makes me content.,
Masses of garbage reached so high that it lifted the roof.,Masses of garbage reached so high that it touched the roof.,The blast blew out windows and lifted the roof.,Masses of garbage reached so deep that it touched the bottom.,
"You are not a fully-grown man, you are a clown.","You are not a fully-grown man, you are very silly.",So you are a clown who uses music.,"You are not a fully-devolved man, you are very serious.",
This drink makes you grow wings.,This drink gives you an energy lift.,Caterpillars grow wings and become butterflies.,This drink sedates you.,
"Remember, Quasimodo they're gypsies. They'll steal us blind.","Remember, Quasimodo they're gypsies. They'll steal from us.",He had a blind eye.,"Remember, Quasimodo they're gypsies. They'll steal from them.",
My lover's arms were made to hold me close.,My lover's arms are good at holding me close.,Attempts were made to help improve the situation.,My lover's arms bad at holding me close.,
The taste is perfect.,The taste is very good.,A perfect circle then forms on the surface.,The taste is very bad.,
The veteran proclaimed he had tree trucks for legs.,The veteran proclaimed he had strong legs.,Tree trucks had to go twenty miles out of the way.,The veteran proclaimed he had weak legs.,
Being led around aimlessly felt like being a zombie.,Being led around aimlessly felt dull.,"The main character in the book struggles to achieve a tender relationship, despite him being a zombie.",Being led around aimlessly felt invigorating.,
It's painful to see you eating pineapple pizza. It hurts my Italian heart.,I don't like to see you eating pineapple pizza. It hurts my Italian heart.,My right arm became painful. It hurts my shoulder.,I like to see you eating pineapple pizza. It heals my Italian heart.,
Books are food for avid readers.,Books are important for avid readers.,Amphibians in the wild are food for other animals.,Books are insignificant for avid readers.,
Many questions were fired at us.,Many questions were asked to us.,Several missiles were fired at us.,Many questions were answered by us.,
His eyes were pure black.,His eyes were very dark.,Pure black goes with everything.,His eyes were very light.,
"Wow, I'm dead from the neck up today.","Wow, I'm not functioning as well as I usually do today.",The singer was found dead today.,"Wow, I'm functioning super well today.",
I know this place like the back of my hand.,I know this place very well.,Your baby is already hairy like the back of my hand.,I know this place poorly.,
He's a wrecking ball for the future of the Party.,He could damage the future of the party.,The structures can be demolished with a wrecking ball.,He could heal the future of the party.,
I can see you've lost your mind.,I can see you are not thinking straight.,You've lost your wallet.,I can see you you are rational.,
It was unpleasant seeing her in those cheap shapeless clothes.,It was unpleasant seeing her in those cheap shabby clothes.,Shapeless emotions began to well up inside her.,It was pleasant seeing her in those nice clothes.,
Daisy Buchanan is Gatsby's grail that he fails to possess.,Daisy Buchanan is Gatsby's target that he fails to possess.,The ruler authorized a mission to search for the grail.,Daisy Buchanan is Gatsby's target that he succeeds in possessing.,
I depend on my green tea fix each morning!,I enjoy my green tea fix each morning!,I depend on nicotine for emotional stability.,I detest my green tea fix each morning!,
"You're so sweet, you give me diabetes.",You're very sweet.,All that sugar might give me diabetes one day.,You're very nasty.,
His charisma magnetized us.,His charisma captivated us.,They used a magnetized needle.,His charisma bored us.,
"When you get emotional, your brain sort of short-circuits.","When you get emotional, your brain loses its normal thinking abilities.",The current sort of short-circuits through their body.,"When you get emotional, your brain gains supranormal thinking abilities.",
Parents' affection is cosmic.,Parents' affection is special.,Meteorites seem to contain cosmic dust.,Parents' affection is mundane.,
I can smell pizza from a mile away.,I can smell pizza from a long distance.,The hotel was only half a mile away.,I can smell pizza from an inch away.,
I don't work without coffee: it's my lifeblood.,I do not work without coffee: it is my sustenance.,Roots hold the plant's lifeblood.,I function without coffee: it is my bane.,
The resources are pitifully small.,The resources are very small.,He starts bleeding and crying pitifully.,The resources are enormous.,
She had an ethereal glow about her.,She had a graceful glow about her.,"In the ethereal world of dreams, we can understand our lives.",She had a awkward glow about her.,
The title says it all.,The title is very descriptive.,I need say no more: you say it all better.,The title is quite ambiguous.,
The president said that the well-being of citizens is his North Star.,The president said that the well-being of citizens is his guiding principle.,The compass needle points towards the North star.,The president said that the well-being of citizens is his lowest priority.,
Your judgement at this point is worth less than nothing.,Your judgement at this point is worthless.,They were asked to make a number of judgments,Your judgement at this point is invaluable.,
The minister told the guests that the couple's friendship was sweeter than honey.,The minister told the guests that the couple's friendship was very sweet.,Maple syrup is sweeter than honey to my mouth!,The minister told the guests that the couple's friendship was repugnant.,
I swear you've doubled in size since I saw you last month.,I swear you have grown since I saw you last month.,A village on the estuary has doubled in size since last year.,I swear you've shrunk since I saw you last month.,
Weight training is ridiculously good for you.,Weight training is very good for you.,You ridiculously disguised as a captain.,Weight training is horrible for you.,
His studded jacket is drilling in his body.,His studded jacket is tight on his body.,The bricklayers are drilling in the wrong place.,His studded jacket is loose on his body.,
They go about together like Siamese twins.,They go about together.,Two others surviving against the odds are the Siamese twins.,They avoid going about together.,
They were probably hoping to crucify me in front of the whole world.,They were probably hoping to punish me in front of the people.,"They shouted ""Crucify him!"" with the whole world's sin upon his back.",They were probably hoping to commend me in front of the people.,
Guess you've run out of thoughts.,Guess you've not many thoughts.,You have run out of biscuits.,Guess you've prodigious thoughts.,
One winter was so cold that the snow turned blue.,One winter was colder than normal.,"After the incident, her finger turned blue.",One winter was warmer than normal.,
So much snow that it's like walking in the firmament.,So much snow that it's like walking on a soft ground.,Some stars in the firmament have a name.,So little snow that it's like walking on stone.,
"To some, AI is taking the lid off Pandora's box.","To some, AI is beginning to generate complicated problems.",,"To some, AI is solving all our problems.",
"She is only a puppet, acting on the directives of her friends.","She is only a follower, acting on the directives of her friends.",She made a costume to match her puppet.,"She's a leader, acting on her own initiative.",
Many people say that my father is still a kid.,Many people say that my father is still immature.,"Don't blame him, he's still a kid.",Many people say that my father is still sophisticated.,
I've seen this movie at least eighty thousand times.,I've seen this movie many times.,These products are tested at least eighty thousand times.,I've seen this movie once.,
It's the end of the world.,It's a difficult time.,"At the beginning of the century, people forecasted the end of the world.",It's an easy time.,
It is a truth universally acknowledged that a single man in possession of a fortune must be in want of a wife.,It is a truth widely acknowledged that a single man in possession of a fortune must be in want of a wife.,It is a truth universally acknowledged that crying is a sign of sadness.,It is sometimes acknowledged that a single man in possession of a fortune must be disinterested in a wife.,
Christmas will never come.,Christmas will take a long time to come.,I could never rise so high.,Christmas will be here soon.,
She ran the whole gamut of emotions.,She felt a number of emotions.,The exhibition runs the whole gamut of artistic styles.,She felt no of emotions.,
He used to teach there and used to get harassed by all the pupils.,He used to teach there and was bothered by all the pupils.,The victims are going to be harassed by the media.,He used to teach there and was pleased by all the pupils.,
That lawyer's words are bullets.,That lawyer's words are really harsh.,Sentries were given some bullets.,That lawyer's words are very lenient.,
The taste of Kellogg's Frosted Flakes brings out the tiger in you.,The taste of Kellogg's Frosted Flakes brings out your wildness.,The tiger paid them a visit.,The taste of Kellogg's Frosted Flakes brings out your demureness.,
Art is my stairway to heaven.,Art is my peace of mind.,The priest said that compassion is a stairway to heaven.,Art is my sorrow.,
No other friendship could be so strong.,This is a very strong friendship.,No other jurisdiction has been established yet.,This is a very weak friendship.,
It drives me crazy when you only drink half of the soda.,It annoys me when you only drink half of the soda.,Drugs drive me crazy.,It soothes me when you only drink half of the soda.,
"And there, before you, is barbeque perfection.","And there, before you, is great barbeque.",Classical statues represent an ideal of perfection.,"And there, before you, is detestable barbeque.",
"Come on, I'm a vault of secrecy.","Come on, I can keep secrets.",The vault of the ceiling was painted in yellow.,"Come on, I can divulge secrets.",
Seeing my bestfriend again would mean the world to me.,Seeing my best friend again would mean a lot to me.,So many languages are spoken in the world.,Seeing that friend again would mean little to me.,
After workout I feel I could lift a sumo wrestler.,After workout I feel very strong.,This robot can lift a sumo wrestler.,After workout I feel weak.,
We used to be as little independent as a flock of sheep.,We used to have very little independence.,They bought the whole flock of sheep.,We used to have a lot of independence.,
His mother is very apprehensive and keeps him in a bubble.,His mother is very apprehensive and is very protective of him.,Many colors reflected in a bubble of foam.,His mother is very negligent and provides him no protection.,
That man corrupts whatsoever he touches.,That man corrupts almost anything he has contact with.,That man accomplishes whatsoever he promises.,That man benefits almost anything he has contact with.,
These flowers are absurdly awesome!,These flowers are really awesome!,These economic strategies seem absurdly short-term.,These flowers are unimpressive.,
And it is a tiny mouthful of heaven.,And it tastes very good.,Many Christians are not focusing on heaven.,And it tastes quite bad.,
I love you with so much of my heart that none is left to protest.,I love you with all my heart.,I remove all vegetation until none is left to sprout up later.,I hate you with all my heart.,
Over my dead body are you meeting with them.,I will make it difficult for you to meet him.,Having some grass over my dead body sounds good.,I would like you to meet him.,
This policy will plunge the country into a chaos.,This policy will be a problematic one for the country.,The young ladies plunge into the pool.,This policy will be beneficial for the country.,
My hair is poker-straight.,My hair is very straight.,"In this geometric pattern, the lines are poker straight.",My hair is curly.,
Your body is a wonderland.,Your body is beautiful.,Carrol invented a wonderland with different logical rules.,Your body is ugly.,
"Sometimes, ignorance is bliss.","Sometimes, ignorance is good.",Fulfillment is bliss.,"Sometimes, ignorance is horrible.",
I felt an explosion of flavor in my mouth.,I tasted a very strong flavour.,The barricade dissolved in an explosion of smoke.,I feel very little flavor in my mouth.,
Your speech evokes a thousand sympathies.,Your speech evokes many sympathies.,My mom earns a thousand dollars a month.,Your speech evokes little sympathy.,
This restaurant sums up the neighbour in all its hipster glory!,This restaurant sums up the neighborhood which is home to many hipsters!,Peter won glory on the field of battle.,This restaurant sums up the neighborhood in its reactionary tendencies.,
"This blog is my harem, where my innermost secrets are shared.","This blog is my personal place, where my innermost secrets are shared.",The male can maintain a distribution of grooming up to a harem size of five females.,"This blog is my professional journal, where my innermost secrets are disseminated.",
He's a monster.,He's a terrible person.,"In some stories, Cerberus is a three-headed monster.",He's a nice person.,
"It's so dark, a bat couldn't see in this room.",It's very dark in the room.,"A bat couln't see the pole, so he flew away.",It's bright in the room.,
They were laughing to death.,They were laughing hard.,Her father was sentenced to death.,They were laughing disingenuously.,
"You stepped on a land mine, boy.","You did something dangerous, boy.",A land mine fell near shifting the two roads.,"You acted responsibly, boy.",
Daisy was an unattainable woman.,Daisy was hard to get.,You set unattainable goals.,Daisy was esay to get.,
These are the proofs of the invincible smartness of the human race.,These are proof of how smart the human race is.,"Had the Romans used our advanced weapons, they would have appeared invincible.",These are proof of the human race's ignorance.,
"When everyone went home for holidays, the campus became a ghost town.","When everyone went home for holidays, the campus became deserted.","When the last resident left, Masten became a ghost town.","When everyone went home for holidays, the campus became bustling.",
You're being stalked by an emotional vampire.,You're being stalked by a person who drains your emotions.,Villagers live in terror that they would be bitten by a vampire.,You're being stalked by an emotionally supportive person.,
It'd take a miracle to get me into the army.,It's tough for me to get into the army.,Old religious believe a miracle has happened.,It'd be easy for me to get into the army.,
It's time to stop living like a dead man.,It's time to stop living in such a passive manner.,The glasses are cold like a dead man.,It's time to stop living like a control freak.,
I lost my sense of humor in the before Christ to be precise.,I lost my sense of humor a long time ago.,The lost prince from India began his reign in the before Christ.,I lost my sense of humor today.,
Be silent as a ninja.,Be very silent.,A Ninja complied with no code of honour in combat situations.,Do not be silent for even a second.,
"Move, there's no time.","Move, we have little time.","Move, there's no time to explain everything now.","Move, we have plenty of time.",
"You've made me the happiest man alive, Rita.","You've made me very happy, Rita.","If I were the happiest man alive, I'd tell you.","You've made me sad, Rita.",
I just got hit by an avalanche of cramps.,I just got hit by a lot of cramps.,Skiers are about to be hit by an avalanche.,I just got hit by a minor cramp.,
He could swear he saw a wisp of smoke coming out of her ears.,He saw how angry she was.,A wisp of smoke came out of the chimney.,He saw she was content.,
With a word she can get what she came for.,She can easily get what she came for.,There are differences that they can see but cannot label with a word.,She will never get what she came for.,
I swear he'd rather die of starvation than even take a whiff of it!,I swear he'd not take a whiff of it!,People continue to die of starvation.,He will gladly take a whiff of it!,
"That artist is a wordless person, she rarely speaks.","That artist is a quiet person, she rarely speaks.",People often make wordless sounds to convey messages.,"That artist is a talkative person, when she speaks.",
"Forget knocking it out of the park, Frank can knock a baseball off the continent.","Forget knocking it out of the park, Frank can knock a baseball to a much larger distance.",Frank is ready to fly off the continent.,"Forget knocking it out of the park, Frank can knock a baseball one yard at the farthest.",
We must obey my mother's whims! We bow to her power!,We must obey my mother's whims! We respect her power!,We had to bow to the prince.,We must resist my mother's whims! We are immune to her power!,
This is a must buy!,This is a very good deal!,"To play the online game, you must buy a license.",This is a waste of money.,
"The town I grew up in is so isolated that rock, paper, scissors is considered a high tech game.",The town I grew up in was isolated and behind the time.,Pokémon Go is considered a high tech game.,The town I grew up in is well-connected and modern.,
He drank a tanker of milk as if he was a drain.,He drank a tanker of milk very quickly.,A diesel tanker fell into a drain.,He drank a tanker of milk very slowly.,
This musician is the god of guitar.,This musician is an expert at playing guitar.,He didn't like the people or the god of their cult.,This musician is terrible at playing guitar.,
I do not breathe without you.,I do not live well without you.,Those who have severe sleep apnea do not breathe without a mask.,I do not get stressed without you.,
Better be out of the world than out of the fashion.,Being out of fashion is very bad.,Children were kept out of the world of adult entertainment.,It is not so bad to be out of fashion.,
You don't ever listen to me.,You don't listen to me.,"Please, don't ever harm yourself.",You sometimes listen to me.,
I thought we had a deal but you stabbed me in the back.,I thought we had a deal but you betrayed me.,Someone stabbed me in the back but missed my heart.,I thought we had a deal but you confirmed it beyond doubt.,
Fabulous new haircut!,I like your new haircut!,The writer created also another fabulous heroine in the book.,Terrifying new haircut!,
His bark breaks the sound barrier.,His bark is very loud.,This subsonic airliner breaks the sound barrier.,His bark cannot be heard very far.,
I broke my ribs laughing.,I felt my ribs hurt while laughing.,I broke my ribs riding my bike.,I quickly stopped laughing.,
My tongue is a piece of sandpaper.,My tongue is really rough.,Get a piece of sandpaper and rub it across the section of wood.,My tongue is very smooth.,
"And your father and I worked on those plans together, for months and months and months.",And your father and I worked on those plans together for a long time.,I've been exercising for lots of months.,And your father and I worked on those plans together months ago for an hour.,
He's light like a feather.,He's light.,It is purple and green like the feather of a peacock.,He's heavy.,
"I'm quite imperturbable, only UFO can rock me.","I'm quite imperturbable, it's very tough to rock me.","Of the typical paranormal entities, only UFO are associated with machines.","I'm quite imperturable, but cannot stand syringes.",
"When my dog waves, his tail it causes hurricanes.",When my dog waves his tail rotates very fast.,The energy absorbed by the atmosphere causes hurricanes.,"When my dog waves his tail, it barely moves.",
The flower of poetry will spring up toward God.,The poetry will spring up magnificent.,The priest pointed up towards God.,The poetry will spring up badly.,
We picked up a bottle once on a trip and were blown away!,We picked up a bottle once on a trip and were surprised.,Small mammal bone is blown away by wind.,We picked up a bottle once on a trip and were underwhelmed.,
It is unthinkable to love and be wise.,It is very difficult to love and be wise.,It is unthinkable that a child can solve differential equation.,It is easy to love and be wise.,
"Given its advanced technologies, this is more of a spacecraft than a regular car.","Given its advanced technologies, this car is more a sophisticated piece of machinery than a regular car.",The spacecraft did not reach its intended orbit.,"Given its old technologies, this car is an antique.",
People hang on your every word.,People really listen to what you say.,Colorful paintings hang on every wall of my bedroom.,People ignore what you say.,
He eats a mountain of junk food.,He eats a lot of junk food.,He emerged upon a mountain top in the clean air.,He eats a small amount of junk food.,
Haven't seen you in ages.,Haven't seen you for a long time.,Crystals took ages to form.,Haven't seen you since yesterday.,
I'd love to hang out eight days a week.,I'd love to hang out every day.,First relief arrives after eight days.,I'd love to hang out eventually.,
It turns out Crumpet Manor had left Lily into a comatose state of relaxation.,It turns out Crumpet Manor had left Lily into an intense state of relaxation.,The patient may still be irreversibly comatose.,It turns out Crumpet Manor had left Lily into a state of disgust.,
My bedroom is my sanctuary.,My bedroom is my private space.,Commercial netting was prohibited within the sanctuary.,My bedroom is my unsafe place.,
I can conquer the world with you by my side.,I can achieve great things with you by my side.,The Persian king Xerxes wanted to conquer the world.,I can barely achieve anything with you by my side.,
Imagination is the queen of truth.,Imagination leads to the truth.,People welcomed the Queen of Denmark.,Imagination is incompatible with truth.,
"Your mom is so fat, I could slap her thigh and ride the wave!",Your mom is very fat!,I could ride the wave of popularity.,Your mom is skinny.,
You can tell the judge how you made it vanish into thin air.,You can tell the judge how you made it disappear.,"In one night, snow vanished into thin air.",You can tell the judge how you made it stick around.,
"Starting from today, I'm a brand new person.","Starting from today, I'm acting in a new way.",I just bought a brand new phone.,"Starting from today, I'm trying to keep my behavior consistent with the past.",
I would give my possessions for a pot of ale.,I would really like a pot of ale.,I want to give my possessions to charity.,I would never buy a pot of ale.,
He walked down the road to nowhere.,He walked down the road without any destination.,We were directed to nowhere in particular.,He walked down the road well determined.,
"I'm dying of hunger, I would eat a horse.","I am hungry, I could eat a big meal.","He, who was dying of asphyxiation, gave one final glance at his horse.","I am full, I ould eat a wafer thin mint.",
"I am sitting here, throned in blue sky like a sphinx.",I am sitting here with pride.,"The emperor's statue is here, throned in blue sky like a sphinx.",I am sitting here with shame.,
Travel broadens your brain.,Travel increases your knowledge.,He broadens his influence by traveling to different cities.,Travel decreases your knowledge.,
Idleness is the root of evil.,Idleness causes bad behavior.,Human capacity to invent meaning objects is the root of culture.,Idleness causes meritorious behavior.,
